track_id,title,artist,genre,release_year,duration, album_cover
127,Sweet Caroline,Neil Diamond,Pop,1969,13.7, https://upload.wikimedia.org/wikipedia/en/5/5e/Sweetcaroline45.jpg
128,Piano Man,Billy Joel,Rock,1973,22.5, https://upload.wikimedia.org/wikipedia/en/8/8f/Billy_Joel_-_Piano_Man.jpg
129,Dreams,Fleetwood Mac,Rock,1977,17.3, https://upload.wikimedia.org/wikipedia/en/f/fb/FMacRumours.PNG
130,Go Your Own Way,Fleetwood Mac,Rock,1977,14.9, https://upload.wikimedia.org/wikipedia/en/9/9b/Go_Your_Own_Way.jpg
131,Black Dog,Led Zeppelin,Rock,1971,19.7, https://upload.wikimedia.org/wikipedia/en/9/9d/Led_Zeppelin_-_Led_Zeppelin_IV.jpg
132,Kashmir,Led Zeppelin,Rock,1975,33.9, https://upload.wikimedia.org/wikipedia/en/8/87/Led_Zeppelin_-_Physical_Graffiti.jpg
133,Paranoid,Black Sabbath,Metal,1970,11.2, https://upload.wikimedia.org/wikipedia/en/5/5c/Black_Sabbath_-_Paranoid.jpg
134,Iron Man,Black Sabbath,Metal,1970,23.7, https://upload.wikimedia.org/wikipedia/en/5/5c/Black_Sabbath_-_Paranoid.jpg
135,The Trooper,Iron Maiden,Metal,1983,16.7, https://upload.wikimedia.org/wikipedia/en/0/0c/Iron_Maiden_-_The_Trooper.jpg
136,Run to the Hills,Iron Maiden,Metal,1982,15.7, https://upload.wikimedia.org/wikipedia/en/4/44/IronMaiden_RunToTheHills.jpg
137,Hallowed Be Thy Name,Iron Maiden,Metal,1982,28.3, https://upload.wikimedia.org/wikipedia/en/9/92/Iron_Maiden_-_The_Number_of_the_Beast.jpg
138,Angel of Death,Slayer,Metal,1986,19.5, https://upload.wikimedia.org/wikipedia/en/6/6f/Slayer_-_Reign_in_Blood.jpg
139,Raining Blood,Slayer,Metal,1986,17.1, https://upload.wikimedia.org/wikipedia/en/6/6f/Slayer_-_Reign_in_Blood.jpg
140,Chop Suey!,System of a Down,Metal,2001,13.4, https://upload.wikimedia.org/wikipedia/en/6/64/SystemofaDownToxicityalbumcover.jpg
141,Toxicity,System of a Down,Metal,2001,14.9, https://upload.wikimedia.org/wikipedia/en/6/64/SystemofaDownToxicityalbumcover.jpg
142,Hurt,Johnny Cash,Country,2002,14.5, https://upload.wikimedia.org/wikipedia/en/3/36/Johnny_Cash_-_Hurt.jpg
143,Friends in Low Places,Garth Brooks,Country,1990,17.2, https://upload.wikimedia.org/wikipedia/en/9/9f/Garth_Brooks_-_Friends_in_Low_Places.jpg
144,The Gambler,Kenny Rogers,Country,1978,14.2, https://upload.wikimedia.org/wikipedia/en/7/7c/Kenny_Rogers_-_The_Gambler.jpg
145,I Will Always Love You,Whitney Houston,R&B,1992,18.1, https://upload.wikimedia.org/wikipedia/en/9/9f/Whitney_Houston_-_I_Will_Always_Love_You.jpg
146,No Scrubs,TLC,R&B,1999,15.3, https://upload.wikimedia.org/wikipedia/en/9/9c/TLC_-_No_Scrubs.jpg
147,Waterfalls,TLC,R&B,1994,18.5, https://upload.wikimedia.org/wikipedia/en/2/2f/TLC_-_Waterfalls.jpg
148,Say My Name,Destiny's Child,R&B,1999,17.1, https://upload.wikimedia.org/wikipedia/en/0/0c/Destiny%27s_Child_-_Say_My_Name.jpg
149,Brown Sugar,The Rolling Stones,Rock,1971,15.4, https://upload.wikimedia.org/wikipedia/en/4/4f/Rolling_Stones_-_Brown_Sugar.jpg
150,Jumpin' Jack Flash,The Rolling Stones,Rock,1968,14.9, https://upload.wikimedia.org/wikipedia/en/0/0e/Jumpin_Jack_Flash.jpg
151,Sultans of Swing,Dire Straits,Rock,1978,23.2, https://upload.wikimedia.org/wikipedia/en/5/5f/Dire_Straits_-_Sultans_of_Swing.jpg
152,Money for Nothing,Dire Straits,Rock,1985,33.3, https://upload.wikimedia.org/wikipedia/en/0/0b/Money_for_Nothing.jpg
153,Comfortably Numb,Pink Floyd,Rock,1979,25.5, https://upload.wikimedia.org/wikipedia/en/2/2f/Pink_Floyd_-_The_Wall.jpg
154,Wish You Were Here,Pink Floyd,Rock,1975,22.1, https://upload.wikimedia.org/wikipedia/en/d/d6/Pink_Floyd_-_Wish_You_Were_Here.jpg
155,Time,Pink Floyd,Rock,1973,27.9, https://upload.wikimedia.org/wikipedia/en/3/3b/Dark_Side_of_the_Moon.png
156,Another Brick in the Wall Pt. 2,Pink Floyd,Rock,1979,15.9, https://upload.wikimedia.org/wikipedia/en/2/2f/Pink_Floyd_-_The_Wall.jpg
157,Hey Joe,Jimi Hendrix,Rock,1966,13.9, https://upload.wikimedia.org/wikipedia/en/4/4f/Hey_Joe.jpg
158,Purple Haze,Jimi Hendrix,Rock,1967,11.4, https://upload.wikimedia.org/wikipedia/en/8/8c/Purple_Haze.jpg
159,All Along the Watchtower,Jimi Hendrix,Rock,1968,16.0, https://upload.wikimedia.org/wikipedia/en/2/2e/All_Along_the_Watchtower.jpg
160,Voodoo Child (Slight Return),Jimi Hendrix,Rock,1968,20.5, https://upload.wikimedia.org/wikipedia/en/7/7c/Electric_Ladyland.jpg
161,Jolene,Dolly Parton,Country,1973,10.9, https://upload.wikimedia.org/wikipedia/en/a/ab/Jolene_%28Dolly_Parton_album_-_cover_art%29.jpg
162,9 to 5,Dolly Parton,Country,1980,10.7, https://upload.wikimedia.org/wikipedia/en/3/3e/Dolly_Parton_-_9_to_5.jpg
